GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JWT-with-Spring-Security,com.spring.jwt.config,SslConfig,16,0,0,0,6,0,4,0,4,0
JWT-with-Spring-Security,com.spring.jwt.config,SecurityHeadersConfig.new OncePerRequestFilter() {...},34,0,0,0,9,0,2,0,2,0
JWT-with-Spring-Security,com.spring.jwt.config,RateLimitingAspect,180,0,16,0,48,0,17,0,9,0
JWT-with-Spring-Security,com.spring.jwt.config,AppConfig.new CorsConfigurationSource() {...},80,0,0,0,9,0,2,0,2,0
JWT-with-Spring-Security,com.spring.jwt.config,SchedulingConfig,32,0,0,0,11,0,3,0,3,0
JWT-with-Spring-Security,com.spring.jwt.config,RateLimitingConfig,49,0,0,0,15,0,3,0,3,0
JWT-with-Spring-Security,com.spring.jwt.config,SecurityHeadersConfig,249,0,0,0,14,0,12,0,12,0
JWT-with-Spring-Security,com.spring.jwt.config,AppConfig,631,0,0,0,68,0,18,0,18,0
JWT-with-Spring-Security,com.spring.jwt.config,OpenApiConfig,63,0,0,0,22,0,3,0,3,0
JWT-with-Spring-Security,com.spring.jwt.dto,StudentDTO,471,0,80,0,25,0,65,0,25,0
JWT-with-Spring-Security,com.spring.jwt.dto,UserProfileDTO,210,0,38,0,7,0,33,0,14,0
JWT-with-Spring-Security,com.spring.jwt.dto,EmployeeDTO,812,0,150,0,21,0,117,0,42,0
JWT-with-Spring-Security,com.spring.jwt.dto,EmailVerificationMapper,41,0,0,0,11,0,2,0,2,0
JWT-with-Spring-Security,com.spring.jwt.dto,PayslipDTO,995,0,198,0,25,0,152,0,53,0
JWT-with-Spring-Security,com.spring.jwt.dto,RefreshTokenRequest,81,0,14,0,4,0,15,0,8,0
JWT-with-Spring-Security,com.spring.jwt.dto,UserUpdateRequest,38,0,0,0,7,0,11,0,11,0
JWT-with-Spring-Security,com.spring.jwt.dto,ResponseAllUsersDto,321,0,46,0,17,0,47,0,24,0
JWT-with-Spring-Security,com.spring.jwt.dto,UserDTO,729,0,124,0,43,0,98,0,36,0
JWT-with-Spring-Security,com.spring.jwt.dto,ResetPassword,155,0,30,0,4,0,26,0,11,0
JWT-with-Spring-Security,com.spring.jwt.dto,PageResponseDto,193,0,22,0,8,0,27,0,16,0
JWT-with-Spring-Security,com.spring.jwt.dto,TokenResponse,124,0,22,0,5,0,21,0,10,0
JWT-with-Spring-Security,com.spring.jwt.dto,ResponseDto,181,0,30,0,8,0,29,0,14,0
JWT-with-Spring-Security,com.spring.jwt.dto,TeacherDTO,330,0,56,0,19,0,47,0,19,0
JWT-with-Spring-Security,com.spring.jwt.dto,LoginRequest,115,0,22,0,3,0,20,0,9,0
JWT-with-Spring-Security,com.spring.jwt.dto,AttendanceDTO,296,0,54,0,9,0,45,0,18,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,XssFilter,102,0,6,0,16,0,9,0,6,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,CustomAuthenticationProvider,155,0,16,0,40,0,16,0,8,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,JwtUsernamePasswordAuthenticationFilter,280,0,4,0,73,0,9,0,7,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,JwtRefreshTokenFilter,541,0,32,0,142,0,25,0,9,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,JwtRefreshTokenFilter.RefreshTokenAuthentication,35,0,0,0,14,0,9,0,9,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,SecurityHeadersFilter,47,0,0,0,15,0,5,0,5,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,RateLimitingFilter.RequestCounter,29,0,0,0,11,0,5,0,5,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,XssFilter.XssRequestWrapper,293,0,26,0,61,0,21,0,8,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,RateLimitingFilter,151,0,28,0,39,0,23,0,9,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,SqlInjectionFilter.SqlInjectionRequestWrapper,255,0,20,0,56,0,18,0,8,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,SqlInjectionFilter.SqlInjectionRequestWrapper.new Enumeration() {...},21,0,0,0,3,0,3,0,3,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,JwtTokenAuthenticationFilter,405,0,30,0,114,0,27,0,12,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,SqlInjectionFilter,18,0,0,0,7,0,5,0,5,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,XssFilter.XssRequestWrapper.new Enumeration() {...},21,0,0,0,3,0,3,0,3,0
JWT-with-Spring-Security,com.spring.jwt.Exam.entity,ExamAccessLink,287,0,50,0,10,0,44,0,19,0
JWT-with-Spring-Security,com.spring.jwt.Exam.entity,ExamSession,511,0,94,0,14,0,75,0,28,0
JWT-with-Spring-Security,com.spring.jwt.Exam.entity,NegativeMarks,202,0,32,0,7,0,30,0,14,0
JWT-with-Spring-Security,com.spring.jwt.Exam.entity,ExamAccessLink.ExamAccessLinkBuilder,63,0,0,0,1,0,9,0,9,0
JWT-with-Spring-Security,com.spring.jwt.Exam.entity,UserAnswer,210,0,38,0,7,0,33,0,14,0
